vict_descent,total_victims,comm1,comm2,comm3
White,8429,Palisades Highlands,Pacific Palisades,Marina Peninsula
Other,1125,Palisades Highlands,Marina Peninsula,Pacific Palisades
Hispanic/Latin/Mexican,868,Palisades Highlands,Marina Peninsula,Pacific Palisades
Unknown,651,Palisades Highlands,Marina Peninsula,Pacific Palisades
Black,462,Palisades Highlands,Pacific Palisades,Marina Peninsula
Other Asian,314,Palisades Highlands,Marina Peninsula,Pacific Palisades
Chinese,42,Palisades Highlands,Marina Peninsula,Pacific Palisades
Japanese,20,Pacific Palisades,N/A,N/A
Filipino,18,Palisades Highlands,Pacific Palisades,N/A
Korean,18,Marina Peninsula,Pacific Palisades,N/A
American Indian/Alaskan Native,7,Palisades Highlands,Marina Peninsula,Pacific Palisades
AsianIndian,6,Marina Peninsula,Pacific Palisades,N/A
Vietnamese,5,Marina Peninsula,Pacific Palisades,N/A
Hawaiian,2,Marina Peninsula,Pacific Palisades,N/A
